Nested Sampling Global Log-Evidence           :   -0.999999999999999237E+10  +/-    0.116359090359614861E+02
Nested Importance Sampling Global Log-Evidence:   -0.999999999999999237E+10  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.100000000000000000E+01    0.000000000000000000E+00
   2    0.239999999999999408E+00    0.427083130081252094E+00
   3    0.283999999999999420E+00    0.450936802667513181E+00
   4    0.229999999999999399E+00    0.420832508250015891E+00
   5    0.257999999999999396E+00    0.437533998678959479E+00
   6    0.243999999999999412E+00    0.429492724036158346E+00
   7    0.239999999999999408E+00    0.427083130081252094E+00
   8    0.255999999999999395E+00    0.436421814303547040E+00
   9    0.247999999999999415E+00    0.431851826440504627E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.100000000000000000E+01
   2    0.000000000000000000E+00
   3    0.100000000000000000E+01
   4    0.000000000000000000E+00
   5    0.100000000000000000E+01
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.000000000000000000E+00
   9    0.000000000000000000E+00

MAP Parameters
Dim No.        Parameter
   1    0.100000000000000000E+01
   2    0.000000000000000000E+00
   3    0.100000000000000000E+01
   4    0.000000000000000000E+00
   5    0.100000000000000000E+01
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.000000000000000000E+00
   9    0.000000000000000000E+00
