Nested Sampling Global Log-Evidence           :   -0.390746462963775798E-15  +/-    0.884020885458907940E-09
Nested Importance Sampling Global Log-Evidence:   -0.390746462963775798E-15  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.520767363795021865E+00    0.229003559245935184E+00
   2    0.479232636204977580E+00    0.229003559245934768E+00
   3    0.258000000000000174E+00    0.437533998678959868E+00
   4    0.254000000000000170E+00    0.435297599350145836E+00
   5    0.236000000000000154E+00    0.424622185006860053E+00
   6    0.220000000000000140E+00    0.414246303544159700E+00
   7    0.286000000000000199E+00    0.451889366991523822E+00
   8    0.246000000000000163E+00    0.430678534408205804E+00
   9    0.270000000000000184E+00    0.443959457608462338E+00
  10    0.230000000000000149E+00    0.420832508250016391E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.587536007330423216E+00
   2    0.412463992669576784E+00
   3    0.000000000000000000E+00
   4    0.100000000000000000E+01
   5    0.100000000000000000E+01
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.000000000000000000E+00
   9    0.000000000000000000E+00
  10    0.000000000000000000E+00

MAP Parameters
Dim No.        Parameter
   1    0.587536007330423216E+00
   2    0.412463992669576784E+00
   3    0.000000000000000000E+00
   4    0.100000000000000000E+01
   5    0.100000000000000000E+01
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.000000000000000000E+00
   9    0.000000000000000000E+00
  10    0.000000000000000000E+00
