Nested Sampling Global Log-Evidence           :   -0.390746462963775798E-15  +/-    0.884020885458907940E-09
Nested Importance Sampling Global Log-Evidence:   -0.390746462963775798E-15  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.340410878815721740E+00    0.186225451116846519E+00
   2    0.321783013002924390E+00    0.180069603990739485E+00
   3    0.337806108181353093E+00    0.185743578910902096E+00
   4    0.374000000000000277E+00    0.483863617148468872E+00
   5    0.364000000000000268E+00    0.481148625686492082E+00
   6    0.360000000000000264E+00    0.480000000000000093E+00
   7    0.340000000000000246E+00    0.473708771293080533E+00
   8    0.370000000000000273E+00    0.482804308182932518E+00
   9    0.384000000000000286E+00    0.486357892914261292E+00
  10    0.406000000000000305E+00    0.491084514111369663E+00
  11    0.402000000000000302E+00    0.490301947783200298E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.692824008907933497E+00
   2    0.255994497183308078E+00
   3    0.511814939087583756E-01
   4    0.000000000000000000E+00
   5    0.100000000000000000E+01
   6    0.000000000000000000E+00
   7    0.100000000000000000E+01
   8    0.100000000000000000E+01
   9    0.000000000000000000E+00
  10    0.000000000000000000E+00
  11    0.000000000000000000E+00

MAP Parameters
Dim No.        Parameter
   1    0.692824008907933497E+00
   2    0.255994497183308078E+00
   3    0.511814939087583756E-01
   4    0.000000000000000000E+00
   5    0.100000000000000000E+01
   6    0.000000000000000000E+00
   7    0.100000000000000000E+01
   8    0.100000000000000000E+01
   9    0.000000000000000000E+00
  10    0.000000000000000000E+00
  11    0.000000000000000000E+00
