Nested Sampling Global Log-Evidence           :   -0.390746462963775798E-15  +/-    0.884020885458907940E-09
Nested Importance Sampling Global Log-Evidence:   -0.390746462963775798E-15  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.260858521802419918E+00    0.143946386804368553E+00
   2    0.236082897911014417E+00    0.141633015638359838E+00
   3    0.249586875338533687E+00    0.137136969626514893E+00
   4    0.253471704948031451E+00    0.136537444934621444E+00
   5    0.472000000000000364E+00    0.499215384378326243E+00
   6    0.504000000000000337E+00    0.499983999743991769E+00
   7    0.500000000000000333E+00    0.500000000000000000E+00
   8    0.504000000000000337E+00    0.499983999743991769E+00
   9    0.526000000000000356E+00    0.499323542405122334E+00
  10    0.466000000000000358E+00    0.498842660565433249E+00
  11    0.504000000000000337E+00    0.499983999743991769E+00
  12    0.524000000000000354E+00    0.499423667841242758E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.211594974559806581E+00
   2    0.385864122122195397E+00
   3    0.270842146623179791E+00
   4    0.131698756694818231E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.100000000000000000E+01
   9    0.000000000000000000E+00
  10    0.100000000000000000E+01
  11    0.100000000000000000E+01
  12    0.100000000000000000E+01

MAP Parameters
Dim No.        Parameter
   1    0.211594974559806581E+00
   2    0.385864122122195397E+00
   3    0.270842146623179791E+00
   4    0.131698756694818231E+00
   5    0.000000000000000000E+00
   6    0.000000000000000000E+00
   7    0.000000000000000000E+00
   8    0.100000000000000000E+01
   9    0.000000000000000000E+00
  10    0.100000000000000000E+01
  11    0.100000000000000000E+01
  12    0.100000000000000000E+01
