Nested Sampling Global Log-Evidence           :   -0.390746462963775798E-15  +/-    0.884020885458907940E-09
Nested Importance Sampling Global Log-Evidence:   -0.390746462963775798E-15  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.198154944215443635E+00    0.112186143824836396E+00
   2    0.203776325431310468E+00    0.106922389280399904E+00
   3    0.200466092316889666E+00    0.113392107008192092E+00
   4    0.199965506261592874E+00    0.116022839248897613E+00
   5    0.197637131774763275E+00    0.110432691016199167E+00
   6    0.652000000000000468E+00    0.476336015854354533E+00
   7    0.614000000000000434E+00    0.486830566008339183E+00
   8    0.630000000000000449E+00    0.482804308182932296E+00
   9    0.616000000000000436E+00    0.486357892914261181E+00
  10    0.656000000000000472E+00    0.475041050857712588E+00
  11    0.646000000000000463E+00    0.478209159259836702E+00
  12    0.588000000000000411E+00    0.492195083274914402E+00
  13    0.598000000000000420E+00    0.490301947783200187E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.714471549507399301E-01
   2    0.288386936077743516E+00
   3    0.153139934672944344E+00
   4    0.250572919298818364E+00
   5    0.236453054999753831E+00
   6    0.100000000000000000E+01
   7    0.000000000000000000E+00
   8    0.000000000000000000E+00
   9    0.100000000000000000E+01
  10    0.100000000000000000E+01
  11    0.100000000000000000E+01
  12    0.100000000000000000E+01
  13    0.000000000000000000E+00

MAP Parameters
Dim No.        Parameter
   1    0.714471549507399301E-01
   2    0.288386936077743516E+00
   3    0.153139934672944344E+00
   4    0.250572919298818364E+00
   5    0.236453054999753831E+00
   6    0.100000000000000000E+01
   7    0.000000000000000000E+00
   8    0.000000000000000000E+00
   9    0.100000000000000000E+01
  10    0.100000000000000000E+01
  11    0.100000000000000000E+01
  12    0.100000000000000000E+01
  13    0.000000000000000000E+00
