Nested Sampling Global Log-Evidence           :   -0.390746462963775798E-15  +/-    0.884020885458907940E-09
Nested Importance Sampling Global Log-Evidence:   -0.390746462963775798E-15  +/-                         NaN

Dim No.       Mean        Sigma
   1    0.165408039830094694E+00    0.926926923763455590E-01
   2    0.172133820922056563E+00    0.943757027007198213E-01
   3    0.165179788205446015E+00    0.916677024528609746E-01
   4    0.166143554098281770E+00    0.933712593970328075E-01
   5    0.164182759420471724E+00    0.907810783210919875E-01
   6    0.166952037523649288E+00    0.893850710122395531E-01
   7    0.744000000000000550E+00    0.436421814303547095E+00
   8    0.758000000000000562E+00    0.428294291346498934E+00
   9    0.736000000000000543E+00    0.440799274046588807E+00
  10    0.772000000000000575E+00    0.419542608086472812E+00
  11    0.716000000000000525E+00    0.450936802667513181E+00
  12    0.768000000000000571E+00    0.422108990664733008E+00
  13    0.736000000000000543E+00    0.440799274046588807E+00
  14    0.770000000000000573E+00    0.420832508250015891E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.533378852723771918E-01
   2    0.641650424860094742E-01
   3    0.264802380355345091E+00
   4    0.935511789762835111E-01
   5    0.275379380131151263E+00
   6    0.248764132778833441E+00
   7    0.100000000000000000E+01
   8    0.000000000000000000E+00
   9    0.100000000000000000E+01
  10    0.100000000000000000E+01
  11    0.100000000000000000E+01
  12    0.100000000000000000E+01
  13    0.100000000000000000E+01
  14    0.000000000000000000E+00

MAP Parameters
Dim No.        Parameter
   1    0.533378852723771918E-01
   2    0.641650424860094742E-01
   3    0.264802380355345091E+00
   4    0.935511789762835111E-01
   5    0.275379380131151263E+00
   6    0.248764132778833441E+00
   7    0.100000000000000000E+01
   8    0.000000000000000000E+00
   9    0.100000000000000000E+01
  10    0.100000000000000000E+01
  11    0.100000000000000000E+01
  12    0.100000000000000000E+01
  13    0.100000000000000000E+01
  14    0.000000000000000000E+00
